,SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3
26,44,백합나무,"(48, 173)",0.0,0.0,0.0,0.0,0.4857155643234188,0.5081903204031198,0.0,0.3686692607620405,0.39145367313960894,0.0,0.326171882238872,0.3417886852437861,0.0,0.4886618589451043,0.5060226876237586,-210.23799440632504,-87.91445911550994,-70.32828283487544,-128.9241921071532
27,45,포플러,"(123, 219)",0.13606493459158325,0.1454255012166582,0.12738683309231347,0.12731568183280184,0.09652648960338021,0.11685802437833825,0.1754555649926769,0.0840043207781466,0.10868006700922019,0.19762928714179928,0.08086253502492513,0.10630582693954484,0.014542074641341274,0.10156975930752112,0.12109960447043158,-0.805349877008674,-0.3525545650975891,0.7178870055564917,-0.23523803881056066
28,46,벚나무,"(1216, 2495)",0.0,0.0,0.0,0.0,0.4874065954521165,0.5059369892791221,0.0,0.4798756690204737,0.4977723594534881,0.0,0.4815960018505319,0.5002712491316773,0.0,0.47903614659940524,0.4965483354220583,-219.8387283325908,-97.3168665455479,-77.50114463508913,-124.26121201647877
29,47,느티나무,"(200, 399)",0.0,0.0,0.0,0.0,0.4934513042145814,0.511929298070077,0.0,0.48244609251765025,0.49931608418919954,0.0,0.4962389276919857,0.5146269892820607,0.0,0.4755496749304825,0.49148179909971706,-192.6354700956323,-94.02419959279149,-73.3687617522528,-112.80970613324325
30,48,층층나무,"(659, 1476)",0.0313231707327428,0.03777254555248477,0.027935339869715747,0.03059034256364579,0.10299813869431486,0.12775131509705226,0.04139539044049545,0.09701967576622932,0.12371943185038145,0.03346641490980273,0.10669918039515357,0.13782585269125208,0.02049851633369293,0.0927031399181955,0.11688111304131385,-0.5903877063539661,-0.18660772235261322,0.4535692811113668,-0.11812414315793962
31,49,아까시나무,"(1697, 3433)",0.032934492210285285,0.034442867189982684,0.032201110502058206,0.03261646569322363,0.10061797536333687,0.12534339153009735,0.029196409606515927,0.09897837045773787,0.12510990575355477,0.04134611536726507,0.09563406344859628,0.11990449532057716,0.013285494995259328,0.10063589871299755,0.1276111720193857,0.6584647639394362,-0.6048913191656888,0.41038369283807075,-0.20467574704709393
32,61,가시나무,"(88, 160)",0.0,0.0,0.0,0.0,0.47768567667289236,0.5009822908323592,0.0,0.45751878483177655,0.48197965273286014,0.0,0.4577136927922357,0.4827065504653249,0.0,0.45644679104925123,0.47796195504814193,-186.97240373713862,-94.43938008500999,-74.54680712862877,-111.54338871628096
33,62,구실잣밤나무,"(14, 55)",0.0,0.0,0.0,0.0,0.4685822190138798,0.48826312300633834,0.0,0.5054881332591361,0.5326185141301413,0.0,0.5250392176894478,0.546433162889772,0.0,0.45986893625507524,0.4988989227629028,-262.80246042471873,-146.81178053147312,-81.56283763784623,-79.66033023900192
34,64,굴거리나무,"(25, 38)",0.0,0.0,0.0,0.0,0.4744209523013327,0.4945050936136236,0.0,0.5345547289790145,0.5581896781044927,0.0,0.525353817002014,0.5474167125766938,0.0,0.5920604288352678,0.6213029364413659,-189.4667358789813,-88.18818076401347,-71.40276530356878,-119.64067567408962
35,65,황칠나무,"(3, 6)",,,,,,,,,,,,,,,,,,,
36,66,사스레피나무,"(47, 83)",0.0,0.0,0.0,0.0,0.48417356363181635,0.502248343499785,0.0,0.47101944794435924,0.4847024472466636,0.0,0.47358061881189806,0.48875712536837346,0.0,0.4559725690975691,0.46016024831804936,-193.36236734601408,-99.73739295795913,-74.74902559502378,-103.55575578656878
37,67,후박나무,"(5, 19)",,,,,,,,,,,,,,,,,,,
38,68,새덕이,"(52, 85)",0.0,0.11750482709579058,0.0,0.07829866291454113,0.09602405467562605,0.11861647935731814,0.0,0.11098366641254494,0.13452574914676738,0.0,0.11978243796388446,0.1415821436045707,0.0,0.05379165132883811,0.07370927252671869,-3.103867888876186,0.6761992981927818,0.6079204474500592,-0.0662186003590994
